#           k/h    P           
    0.14186E+01    0.31314E+02
    0.14472E+01    0.29862E+02
    0.14765E+01    0.28476E+02
    0.15063E+01    0.27152E+02
    0.15367E+01    0.25887E+02
    0.15678E+01    0.24680E+02
    0.15994E+01    0.23528E+02
    0.16318E+01    0.22427E+02
    0.16647E+01    0.21377E+02
    0.16984E+01    0.20375E+02
    0.17327E+01    0.19418E+02
    0.17677E+01    0.18505E+02
    0.18034E+01    0.17633E+02
    0.18398E+01    0.16801E+02
    0.18770E+01    0.16008E+02
    0.19149E+01    0.15251E+02
    0.19536E+01    0.14529E+02
    0.19930E+01    0.13840E+02
    0.20333E+01    0.13183E+02
    0.20744E+01    0.12557E+02
    0.21163E+01    0.11959E+02
    0.21590E+01    0.11389E+02
    0.22026E+01    0.10846E+02
    0.22471E+01    0.10328E+02
    0.22925E+01    0.98342E+01
    0.23388E+01    0.93633E+01
    0.23861E+01    0.89145E+01
    0.24343E+01    0.84867E+01
    0.24835E+01    0.80789E+01
    0.25336E+01    0.76903E+01
    0.25848E+01    0.73200E+01
    0.26370E+01    0.69671E+01
    0.26903E+01    0.66308E+01
    0.27447E+01    0.63104E+01
    0.28001E+01    0.60051E+01
    0.28567E+01    0.57143E+01
    0.29144E+01    0.54373E+01
    0.29733E+01    0.51735E+01
    0.30333E+01    0.49222E+01
    0.30946E+01    0.46828E+01
    0.31571E+01    0.44548E+01
    0.32209E+01    0.42378E+01
    0.32860E+01    0.40310E+01
    0.33523E+01    0.38342E+01
    0.34201E+01    0.36468E+01
    0.34892E+01    0.34684E+01
    0.35596E+01    0.32985E+01
    0.36316E+01    0.31368E+01
    0.37049E+01    0.29829E+01
    0.37798E+01    0.28364E+01
    0.38561E+01    0.26970E+01
    0.39340E+01    0.25642E+01
    0.40135E+01    0.24379E+01
    0.40946E+01    0.23178E+01
    0.41773E+01    0.22034E+01
    0.42617E+01    0.20946E+01
    0.43478E+01    0.19910E+01
    0.44356E+01    0.18925E+01
    0.45252E+01    0.17988E+01
    0.46166E+01    0.17097E+01
    0.47099E+01    0.16249E+01
    0.48050E+01    0.15442E+01
    0.49021E+01    0.14675E+01
    0.50011E+01    0.13945E+01
    0.51021E+01    0.13251E+01
    0.52052E+01    0.12591E+01
    0.53104E+01    0.11963E+01
    0.54176E+01    0.11366E+01
    0.55271E+01    0.10799E+01
    0.56387E+01    0.10259E+01
    0.57526E+01    0.97458E+00
    0.58689E+01    0.92580E+00
    0.59874E+01    0.87942E+00
    0.61084E+01    0.83533E+00
    0.62318E+01    0.79342E+00
    0.63577E+01    0.75359E+00
    0.64861E+01    0.71573E+00
    0.66171E+01    0.67974E+00
    0.67508E+01    0.64553E+00
    0.68872E+01    0.61303E+00
    0.70263E+01    0.58213E+00
    0.71682E+01    0.55278E+00
    0.73130E+01    0.52488E+00
    0.74608E+01    0.49837E+00
    0.76115E+01    0.47319E+00
    0.77653E+01    0.44926E+00
    0.79221E+01    0.42652E+00
    0.80822E+01    0.40492E+00
    0.82454E+01    0.38440E+00
    0.84120E+01    0.36491E+00
    0.85819E+01    0.34639E+00
    0.87553E+01    0.32880E+00
    0.89322E+01    0.31209E+00
    0.91126E+01    0.29622E+00
    0.92967E+01    0.28115E+00
    0.94845E+01    0.26684E+00
    0.96761E+01    0.25324E+00
    0.98716E+01    0.24033E+00
    0.10071E+02    0.22807E+00
    0.10274E+02    0.21643E+00
    0.10482E+02    0.20538E+00
    0.10694E+02    0.19488E+00
    0.10910E+02    0.18492E+00
    0.11130E+02    0.17546E+00
    0.11355E+02    0.16647E+00
    0.11584E+02    0.15795E+00
    0.11818E+02    0.14985E+00
    0.12057E+02    0.14216E+00
    0.12301E+02    0.13487E+00
    0.12549E+02    0.12794E+00
    0.12803E+02    0.12137E+00
    0.13061E+02    0.11513E+00
    0.13325E+02    0.10921E+00
    0.13594E+02    0.10359E+00
    0.13869E+02    0.98252E-01
    0.14149E+02    0.93190E-01
    0.14435E+02    0.88385E-01
    0.14727E+02    0.83826E-01
    0.15024E+02    0.79500E-01
    0.15328E+02    0.75395E-01
    0.15637E+02    0.71499E-01
    0.15953E+02    0.67803E-01
    0.16275E+02    0.64297E-01
    0.16604E+02    0.60969E-01
    0.16940E+02    0.57813E-01
    0.17282E+02    0.54818E-01
    0.17631E+02    0.51976E-01
    0.17987E+02    0.49281E-01
    0.18351E+02    0.46724E-01
    0.18721E+02    0.44299E-01
    0.19099E+02    0.41998E-01
    0.19485E+02    0.39816E-01
    0.19879E+02    0.37746E-01
    0.20280E+02    0.35782E-01
    0.20690E+02    0.33920E-01
    0.21108E+02    0.32154E-01
    0.21535E+02    0.30479E-01
    0.21970E+02    0.28891E-01
    0.22413E+02    0.27384E-01
    0.22866E+02    0.25956E-01
    0.23328E+02    0.24601E-01
    0.23799E+02    0.23317E-01
    0.24280E+02    0.22098E-01
    0.24771E+02    0.20943E-01
    0.25271E+02    0.19848E-01
    0.25782E+02    0.18810E-01
    0.26302E+02    0.17825E-01
    0.26834E+02    0.16892E-01
    0.27376E+02    0.16007E-01
    0.27929E+02    0.15168E-01
    0.28493E+02    0.14373E-01
    0.29069E+02    0.13619E-01
    0.29656E+02    0.12904E-01
    0.30255E+02    0.12226E-01
    0.30866E+02    0.11584E-01
    0.31490E+02    0.10975E-01
    0.32126E+02    0.10398E-01
    0.32775E+02    0.98510E-02
    0.33437E+02    0.93325E-02
    0.34112E+02    0.88412E-02
    0.34801E+02    0.83755E-02
    0.35504E+02    0.79341E-02
    0.36222E+02    0.75158E-02
    0.36953E+02    0.71193E-02
    0.37700E+02    0.67436E-02
    0.38462E+02    0.63876E-02
    0.39239E+02    0.60502E-02
    0.40031E+02    0.57305E-02
    0.40840E+02    0.54276E-02
    0.41665E+02    0.51405E-02
    0.42507E+02    0.48685E-02
    0.43365E+02    0.46108E-02
    0.44241E+02    0.43666E-02
    0.45135E+02    0.41353E-02
    0.46047E+02    0.39161E-02
    0.46977E+02    0.37084E-02
    0.47926E+02    0.35117E-02
    0.48894E+02    0.33253E-02
    0.49882E+02    0.31487E-02
    0.50890E+02    0.29814E-02
    0.51918E+02    0.28230E-02
    0.52966E+02    0.26729E-02
    0.54036E+02    0.25307E-02
    0.55128E+02    0.23960E-02
    0.56242E+02    0.22684E-02
    0.57378E+02    0.21475E-02
    0.58537E+02    0.20331E-02
    0.59720E+02    0.19247E-02
    0.60926E+02    0.18220E-02
    0.62157E+02    0.17247E-02
    0.63412E+02    0.16326E-02
    0.64693E+02    0.15454E-02
    0.66000E+02    0.14628E-02
    0.67334E+02    0.13846E-02
    0.68694E+02    0.13105E-02
    0.70082E+02    0.12403E-02
    0.71497E+02    0.11739E-02
    0.72942E+02    0.11110E-02
    0.74415E+02    0.10514E-02
    0.75918E+02    0.99501E-03
    0.77452E+02    0.94161E-03
    0.79017E+02    0.89104E-03
    0.80613E+02    0.84316E-03
    0.82241E+02    0.79783E-03
    0.83903E+02    0.75491E-03
    0.85598E+02    0.71428E-03
    0.87327E+02    0.67581E-03
    0.89091E+02    0.63939E-03
    0.90891E+02    0.60491E-03
    0.92727E+02    0.57227E-03
    0.94600E+02    0.54138E-03
    0.96511E+02    0.51213E-03
    0.98461E+02    0.48445E-03
